text	integer	float	float	boolean
SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-1283	0	0.1	1	0
hsa-miR-1284	0	0.1	1	0
hsa-miR-1285-3p	0	0.1	1	0
hsa-miR-1286	0	0.1	1	0
hsa-miR-1287	0	20.7743	3.9047	1
hsa-miR-1288	0	53.4285	5.22942	1
hsa-miR-1289	0	0.1	1	0
hsa-miR-129-1-3p	0	0.1	1	0
hsa-miR-129-2-3p	0	0.1	1	0
hsa-miR-129-5p	0	11.6076	2.80662	1
hsa-miR-1290	0	10281.6	994.948	1
hsa-miR-1291	0	0.1	1	0
hsa-miR-1292	0	0.1	1	0
hsa-miR-1293	0	0.1	1	0
hsa-miR-1294	0	9.73674	2.73566	1
hsa-miR-1295a	0	0.1	1	0
hsa-miR-1296	0	0.1	1	0
hsa-miR-1297	0	0.1	1	0
hsa-miR-1298	0	0.1	1	0
hsa-miR-1299	0	53.7195	5.28743	1
hsa-miR-1300_v13.0	0	26.3892	3.67496	1
hsa-miR-1301	0	0.1	1	0
hsa-miR-1302	0	0.1	1	0
hsa-miR-1303	0	0.1	1	0
hsa-miR-1304-5p	0	0.1	1	0
hsa-miR-1305	0	225.784	17.0421	1
hsa-miR-1306-3p	0	59.5657	5.57933	1
hsa-miR-1307-3p	0	9.63492	2.73595	1
hsa-miR-1308_v15.0	0	125.456	9.70083	1
hsa-miR-130a-3p	0	742.964	52.7357	1
hsa-miR-130a-5p	0	0.1	1	0
hsa-miR-130b-3p	0	223.582	16.417	1
hsa-miR-130b-5p	0	0.1	1	0
hsa-miR-132-3p	0	1497.88	106.96	1
hsa-miR-132-5p	0	61.639	6.05094	1
hsa-miR-1321	0	0.1	1	0
hsa-miR-1322	0	0.1	1	0
hsa-miR-1323	0	0.1	1	0
hsa-miR-1324	0	0.1	1	0
hsa-miR-133a	0	0.1	1	0
hsa-miR-133b	0	0.1	1	0
hsa-miR-134	0	508.41	36.3014	1
hsa-miR-135a-3p	0	110.929	6.98538	1
hsa-miR-135a-5p	0	0.1	1	0
hsa-miR-135b-3p	0	0.1	1	0
hsa-miR-135b-5p	0	0.1	1	0
hsa-miR-136-3p	0	0.1	1	0
hsa-miR-136-5p	0	0.1	1	0
hsa-miR-137	0	0.1	1	0
hsa-miR-138-1-3p	0	0.1	1	0
hsa-miR-138-2-3p	0	20.3735	2.75562	1
hsa-miR-138-5p	0	0.1	1	0
hsa-miR-139-3p	0	11.5663	2.81539	1
hsa-miR-139-5p	0	0.1	1	0
hsa-miR-140-3p	0	421.343	31.7768	1
hsa-miR-140-5p	0	151.711	11.3837	1
hsa-miR-141-3p	0	36.4979	4.57968	1
hsa-miR-141-5p	0	0.1	1	0
hsa-miR-142-3p	0	19144.7	1416.54	1
hsa-miR-142-5p	0	5916.61	418.901	1
hsa-miR-143-3p	0	0.1	1	0
